,COVID-19 (Daily New Cases),COVID-19 (Daily Rolling 7d Average),Positivity (Daily Rate),Positivity (Rolling 7d Average)
20-Mar-2020,1,,1.9,
21-Mar-2020,0,,11.1,
22-Mar-2020,3,,0,
23-Mar-2020,0,,9.5,
24-Mar-2020,1,,0,
25-Mar-2020,2,,9.2,
26-Mar-2020,2,1.3,10.2,6
27-Mar-2020,3,1.6,2.4,6.1
28-Mar-2020,0,1.6,6.3,5.4
29-Mar-2020,1,1.3,0,5.4
30-Mar-2020,8,2.4,6.5,4.9
31-Mar-2020,1,2.4,10.5,6.4
1-Apr-2020,5,2.9,5.1,5.9
2-Apr-2020,2,2.9,9.3,5.7
3-Apr-2020,2,2.7,13.5,7.3
4-Apr-2020,4,3.3,12.5,8.2
5-Apr-2020,1,3.3,4.2,8.8
6-Apr-2020,7,3.1,8.2,9
7-Apr-2020,3,3.4,8.3,8.7
8-Apr-2020,10,4.1,8.8,9.3
9-Apr-2020,6,4.7,8.5,9.1
10-Apr-2020,7,5.4,11.9,8.9
11-Apr-2020,12,6.6,31.8,11.7
12-Apr-2020,5,7.1,21.3,14.1
13-Apr-2020,14,8.1,7.8,14.1
14-Apr-2020,5,8.4,17.6,15.4
15-Apr-2020,17,9.4,6.9,15.1
16-Apr-2020,11,10.1,7.4,15
17-Apr-2020,18,11.7,9.6,14.6
18-Apr-2020,4,10.6,9.1,11.4
19-Apr-2020,12,11.6,15.2,10.5
20-Apr-2020,11,11.1,8.6,10.6
21-Apr-2020,7,11.4,8.3,9.3
22-Apr-2020,11,10.6,10.7,9.8
23-Apr-2020,14,11,9.8,10.2
24-Apr-2020,19,11.1,10.2,10.3
25-Apr-2020,11,12.1,6.1,9.8
26-Apr-2020,2,10.7,13,9.5
27-Apr-2020,24,12.6,9.4,9.6
28-Apr-2020,13,13.4,4.5,9.1
29-Apr-2020,8,13,5.8,8.4
30-Apr-2020,7,12,11.4,8.6
1-May-2020,1,9.4,10.8,8.7
2-May-2020,13,9.7,8.3,9
3-May-2020,12,11.1,12.7,9
4-May-2020,20,10.6,10.8,9.2
5-May-2020,20,11.6,8.8,9.8
6-May-2020,26,14.1,7.1,10
7-May-2020,21,16.1,13.2,10.2
8-May-2020,26,19.7,14.1,10.7
9-May-2020,47,24.6,9.3,10.9
10-May-2020,15,25,6.3,9.9
11-May-2020,31,26.6,10.6,9.9
12-May-2020,15,25.9,11.5,10.3
13-May-2020,46,28.7,12.3,11
14-May-2020,19,28.4,8.6,10.4
