,N1 (CN per 100 mL),N1 (CN per 100 mL),N1 (CN per 100 mL),PMMoV (CN per mL),PMMoV (CN per mL),PMMoV (CN per mL),Recovery (%),Recovery (%),Recovery (%),N1/PMMoV,N1/PMMoV,N1/PMMoV,N1 Load (CN per day),N1 Load (CN per day),N1 Load (CN per day)
8-Jun-2020,0,102,43,8800,,,5.77,,,0,0.433,0.38,0,6.77e+010,2.85e+010
9-Jun-2020,18,69,24,6234,,,2.28,,,0.33,0.418,0.35,1.18e+010,4.6e+010,1.61e+010
10-Jun-2020,160,176,144,21632,,,1.56,,,0.437,0.442,0.431,1.08e+011,1.19e+011,9.76e+010
11-Jun-2020,448,496,336,6173,,,7.35,,,0.538,0.544,0.519,2.92e+011,3.23e+011,2.19e+011
12-Jun-2020,0,50,70,9888,,,3.25,,,0,0.385,0.407,0,3.09e+010,4.39e+010
13-Jun-2020,56,0,29,13536,,,0.31,,,0.385,0,0.345,3.34e+010,0,1.72e+010
14-Jun-2020,208,110,106,11872,,,1.86,,,0.469,0.43,0.427,1.21e+011,6.43e+010,6.15e+010
15-Jun-2020,240,352,240,10528,,,1.09,,,0.481,0.505,0.481,1.43e+011,2.1e+011,1.43e+011
16-Jun-2020,112,64,102,8544,,,1.61,,,0.44,0.405,0.434,6.62e+010,3.78e+010,6.05e+010
17-Jun-2020,83,59,78,10336,,,2.33,,,0.416,0.395,0.413,5.03e+010,3.58e+010,4.74e+010
18-Jun-2020,67,56,16,7680,,,1.72,,,0.411,0.399,0.32,3.84e+010,3.2e+010,9.13e+009
19-Jun-2020,128,56,56,3318,,,1.29,,,0.476,0.421,0.421,7.36e+010,3.22e+010,3.22e+010
20-Jun-2020,288,416,656,538,,,2.9,,,0.604,0.632,0.666,1.64e+011,2.37e+011,3.74e+011
21-Jun-2020,43,96,109,2342,,,2.01,,,0.414,0.468,0.477,2.31e+010,5.14e+010,5.83e+010
22-Jun-2020,80,96,37,3872,,,0.72,,,0.441,0.453,0.389,4.88e+010,5.85e+010,2.24e+010
23-Jun-2020,104,62,101,4141,,,1.31,,,0.456,0.422,0.454,7.02e+010,4.21e+010,6.81e+010
24-Jun-2020,260,240,108,6912,,,0.26,,,0.499,0.494,0.444,1.42e+011,1.31e+011,5.91e+010
25-Jun-2020,84,124,192,3000,,,1.71,,,0.451,0.478,0.507,4.95e+010,7.31e+010,1.13e+011
26-Jun-2020,248,136,228,3648,,,0.89,,,0.517,0.478,0.512,1.45e+011,7.94e+010,1.33e+011
27-Jun-2020,440,280,280,2848,,,1.71,,,0.564,0.534,0.534,2.79e+011,1.78e+011,1.78e+011
28-Jun-2020,84,36,148,3560,,,1.71,,,0.446,0.39,0.484,4.32e+010,1.85e+010,7.61e+010
29-Jun-2020,112,480,320,7408,,,4.34,,,0.444,0.536,0.51,5.72e+010,2.45e+011,1.63e+011
30-Jun-2020,280,208,228,4336,,,4,,,0.519,0.5,0.506,1.43e+011,1.06e+011,1.16e+011
1-Jul-2020,640,800,880,4352,,,1.83,,,0.573,0.588,0.594,3.39e+011,4.23e+011,4.66e+011
2-Jul-2020,360,360,280,4600,,,2.29,,,0.534,0.534,0.517,1.88e+011,1.88e+011,1.46e+011
3-Jul-2020,280,200,240,4144,,,1.49,,,0.521,0.499,0.511,1.43e+011,1.02e+011,1.23e+011
4-Jul-2020,280,256,240,2360,,,2.29,,,0.541,0.535,0.53,1.4e+011,1.28e+011,1.2e+011
5-Jul-2020,240,216,320,3192,,,2.06,,,0.52,0.513,0.539,1.29e+011,1.17e+011,1.73e+011
6-Jul-2020,80,120,32,6512,,,1.37,,,0.426,0.452,0.368,4.07e+010,6.1e+010,1.63e+010
7-Jul-2020,280,360,320,6160,,,2.29,,,0.508,0.524,0.516,1.64e+011,2.1e+011,1.87e+011
8-Jul-2020,216,200,224,4616,,,1.37,,,0.5,0.495,0.503,1.12e+011,1.04e+011,1.16e+011
9-Jul-2020,240,128,216,4944,,,0.27,,,0.505,0.464,0.498,1.22e+011,6.52e+010,1.1e+011
10-Jul-2020,180,120,400,3608,,,2.51,,,0.496,0.47,0.549,1.53e+011,1.02e+011,3.4e+011
11-Jul-2020,520,440,172,5600,,,4.34,,,0.551,0.54,0.479,2.71e+011,2.29e+011,8.96e+010
12-Jul-2020,400,760,560,6296,,,8.91,,,0.53,0.571,0.551,2.01e+011,3.82e+011,2.81e+011
14-Jul-2020,64,40,36,4352,,,0.25,,,0.423,0.392,0.385,3.27e+010,2.05e+010,1.84e+010
16-Jul-2020,320,440,192,4616,,,18.97,,,0.526,0.547,0.493,2.56e+011,3.52e+011,1.54e+011
18-Jul-2020,68,48,280,7080,,,1.94,,,0.414,0.391,0.503,3.54e+010,2.5e+010,1.46e+011
20-Jul-2020,100,84,164,5488,,,2.86,,,0.445,0.434,0.477,5.27e+010,4.43e+010,8.65e+010
21-Jul-2020,260,76,96,8080,,,1.14,,,0.494,0.417,0.432,1.35e+011,3.95e+010,4.99e+010
23-Jul-2020,80,40,128,5000,,,2.17,,,0.433,0.388,0.464,4.17e+010,2.09e+010,6.68e+010
25-Jul-2020,160,0,0,7296,,,1.14,,,0.467,0,0,7.59e+010,0,0
26-Jul-2020,96,32,40,6560,,,1.14,,,0.437,0.367,0.382,4.67e+010,1.56e+010,1.95e+010
27-Jul-2020,196,64,80,7112,,,3.77,,,0.48,0.41,0.424,9.97e+010,3.26e+010,4.07e+010
29-Jul-2020,0,116,0,14168,,,0.41,,,0,0.429,0,0,5.81e+010,0
31-Jul-2020,312,0,168,3984,,,8.23,,,0.529,0,0.489,1.54e+011,0,8.31e+010
2-Aug-2020,160,320,160,5352,,,2.06,,,0.476,0.521,0.476,9.67e+010,1.93e+011,9.67e+010
4-Aug-2020,76,120,140,14992,,,1.94,,,0.401,0.429,0.438,3.72e+010,5.87e+010,6.85e+010
7-Aug-2020,128,188,36,13136,,,0.91,,,0.437,0.46,0.359,6.04e+010,8.87e+010,1.7e+010
10-Aug-2020,40,28,120,12136,,,0.51,,,0.367,0.345,0.435,2.57e+010,1.8e+010,7.72e+010
12-Aug-2020,64,240,84,17360,,,0.9,,,0.388,0.467,0.404,2.95e+010,1.11e+011,3.87e+010
14-Aug-2020,100,64,44,7984,,,0,,,0.435,0.407,0.383,4.57e+010,2.92e+010,2.01e+010
16-Aug-2020,36,0,0,7120,,,0,,,0.373,0,0,1.66e+010,0,0
17-Aug-2020,72,232,160,20080,,,2.74,,,0.391,0.461,0.439,3.43e+010,1.1e+011,7.61e+010
21-Aug-2020,0,60,76,15632,,,0.33,,,0,0.386,0.4,0,2.68e+010,3.39e+010
24-Aug-2020,36,32,24,14304,,,0.62,,,0.357,0.35,0.333,1.67e+010,1.48e+010,1.11e+010
31-Aug-2020,64,32,0,5912,,,7.66,,,0.414,0.37,0,2.8e+010,1.4e+010,0
2-Sep-2020,60,96,88,8520,,,5.03,,,0.401,0.43,0.425,2.67e+010,4.27e+010,3.92e+010
4-Sep-2020,0,36,132,13296,,,3.66,,,0,0.359,0.438,0,1.61e+010,5.89e+010
8-Sep-2020,136,0,148,9128,,,1.94,,,0.45,0,0.455,1.09e+011,0,1.19e+011
9-Sep-2020,80,180,0,6648,,,1.49,,,0.426,0.477,0,4.64e+010,1.04e+011,0
11-Sep-2020,44,68,112,6120,,,0.73,,,0.39,0.417,0.449,2.05e+010,3.17e+010,5.23e+010
2-Oct-2020,108,28,0,1320,,,0,,,0.496,0.4,0,,,
4-Oct-2020,0,0,40,1096,,,0,,,0,0,0.431,,,
5-Oct-2020,0,32,0,952,,,0,,,0,0.419,0,,,
7-Oct-2020,0,32,0,4464,,,0,,,0,0.377,0,,,
10-Oct-2020,560,400,360,3776,,,13.46,,,0.57,0.548,0.541,,,
12-Oct-2020,40,204,320,5952,,,1.7,,,0.384,0.489,0.517,,,
15-Oct-2020,124,0,228,3704,,,1.52,,,0.471,0,0.511,,,
18-Oct-2020,128,32,0,2208,,,2.17,,,0.49,0.395,0,,,
19-Oct-2020,116,72,240,9936,,,1.28,,,0.438,0.408,0.483,,,
22-Oct-2020,212,232,280,8592,,,25.34,,,0.48,0.485,0.497,,,
25-Oct-2020,280,220,256,4240,,,6.8,,,0.52,0.504,0.514,,,
