,Daily New Cases,Daily Positivity,New Cases (7d rolling),Positivity (7d rolling)
3-Aug-2020,0,0,,
4-Aug-2020,0,0,,
5-Aug-2020,0,0,,
6-Aug-2020,0,0,,
7-Aug-2020,0,0,,
8-Aug-2020,1,10,,
9-Aug-2020,2,22.2,0.43,4.6
10-Aug-2020,6,3,1.29,5
11-Aug-2020,5,31.6,2,9.5
12-Aug-2020,9,22,3.29,12.7
13-Aug-2020,14,31,5.29,17.1
14-Aug-2020,14,12.6,7.29,18.9
15-Aug-2020,4,36.4,7.71,22.7
16-Aug-2020,15,56.7,9.57,27.6
17-Aug-2020,100,24.5,23,30.7
18-Aug-2020,86,26.2,34.57,29.9
19-Aug-2020,83,13.9,45.14,28.8
20-Aug-2020,26,9.7,46.86,25.7
21-Aug-2020,28,6.9,48.86,24.9
22-Aug-2020,19,6.3,51,20.6
23-Aug-2020,30,8.8,53.14,13.8
24-Aug-2020,39,6,44.43,11.1
25-Aug-2020,20,4.8,35,8.1
26-Aug-2020,18,4.4,25.71,6.7
27-Aug-2020,21,3.4,25,5.8
28-Aug-2020,18,3.7,23.57,5.3
29-Aug-2020,10,2.7,22.29,4.8
30-Aug-2020,3,0.8,18.43,3.7
31-Aug-2020,12,2,14.57,3.1
1-Sep-2020,9,2.1,13,2.7
2-Sep-2020,3,1,10.86,2.2
3-Sep-2020,2,0.4,8.14,1.8
4-Sep-2020,4,1.3,6.14,1.5
5-Sep-2020,1,0.5,4.86,1.2
6-Sep-2020,7,3.7,5.43,1.6
7-Sep-2020,2,0.8,4,1.4
8-Sep-2020,8,4.9,3.86,1.8
9-Sep-2020,7,1.2,4.43,1.8
10-Sep-2020,7,2,5.14,2.1
11-Sep-2020,13,2.4,6.43,2.2
12-Sep-2020,0,0,6.29,2.1
13-Sep-2020,4,1.2,5.86,1.8
14-Sep-2020,10,1.5,7,1.9
15-Sep-2020,5,1.1,6.57,1.3
16-Sep-2020,9,1,6.86,1.3
17-Sep-2020,3,0.6,6.29,1.1
18-Sep-2020,4,0.7,5,0.9
19-Sep-2020,0,0,5,0.9
20-Sep-2020,1,0.3,4.57,0.7
21-Sep-2020,12,3.2,4.86,1
22-Sep-2020,3,0.8,4.57,0.9
23-Sep-2020,8,1.1,4.43,1
24-Sep-2020,5,0.9,4.71,1
25-Sep-2020,7,0.9,5.14,1
26-Sep-2020,1,0.3,5.29,1.1
27-Sep-2020,8,1.8,6.29,1.3
28-Sep-2020,7,0.7,5.57,0.9
29-Sep-2020,8,1,6.29,1
30-Sep-2020,11,1.1,6.71,1
1-Oct-2020,6,0.8,6.86,0.9
2-Oct-2020,1,0.1,6,0.8
3-Oct-2020,0,0,5.86,0.8
4-Oct-2020,5,1.8,5.43,0.8
5-Oct-2020,10,1.3,5.86,0.9
6-Oct-2020,6,0.7,5.57,0.8
7-Oct-2020,5,0.8,4.71,0.8
8-Oct-2020,4,0.5,4.43,0.7
9-Oct-2020,4,0.7,4.86,0.8
10-Oct-2020,2,6.1,5.14,1.7
11-Oct-2020,2,0.4,4.71,1.5
12-Oct-2020,10,1.2,4.71,1.5
13-Oct-2020,12,1.3,5.57,1.6
14-Oct-2020,31,4.1,9.29,2
15-Oct-2020,14,1.5,10.71,2.2
16-Oct-2020,24,3.6,13.57,2.6
17-Oct-2020,4,10.3,13.86,3.2
18-Oct-2020,13,2.3,15.43,3.5
19-Oct-2020,11,1.4,15.57,3.5
20-Oct-2020,28,3.2,17.86,3.8
21-Oct-2020,18,1.8,16,3.4
22-Oct-2020,18,1.9,16.57,3.5
23-Oct-2020,13,2.1,15,3.3
24-Oct-2020,10,2.2,15.86,2.1
25-Oct-2020,8,1.2,15.14,2
26-Oct-2020,23,2.8,16.86,2.2
27-Oct-2020,24,2.7,16.29,2.1
28-Oct-2020,28,3.6,17.71,2.4
29-Oct-2020,22,2.4,18.29,2.4
30-Oct-2020,20,2.6,19.29,2.5
31-Oct-2020,7,1.7,18.86,2.4
1-Nov-2020,5,0.9,18.43,2.4
2-Nov-2020,24,3,18.57,2.4
3-Nov-2020,39,4,20.71,2.6
4-Nov-2020,72,8.6,27,3.3
5-Nov-2020,41,4.4,29.71,3.6
6-Nov-2020,28,18.5,30.86,5.9
7-Nov-2020,11,9.8,31.43,7
8-Nov-2020,15,4.6,32.86,7.6
9-Nov-2020,37,7.1,34.71,8.1
10-Nov-2020,33,6.2,33.86,8.5
11-Nov-2020,31,8,28,8.4
12-Nov-2020,35,6.8,27.14,8.7
13-Nov-2020,37,11.7,28.43,7.7
14-Nov-2020,26,15.3,30.57,8.5
15-Nov-2020,23,6,31.71,8.7
16-Nov-2020,31,8.8,30.86,9
17-Nov-2020,31,6.2,30.57,9
18-Nov-2020,31,5.5,30.57,8.6
19-Nov-2020,23,3.4,28.86,8.1
20-Nov-2020,10,3.5,25,7
21-Nov-2020,3,1.9,21.71,5
