Date,WW Flow (LPD),Recovery Efficiency,pooled_lower,pooled_mean,pooled_upper,separate_lower,separate_mean,separate_upper,polled_rolling,separate_rolling
8/3/2020,3261131,0.0251,0,10967,26168,0,12197,24451,10967,12197
8/4/2020,2884482,0.0015,25577,74038,122500,25577,74038,122500,42503,43118
8/5/2020,2799311,0.0183,0,7294,21590,0,10208,30217,30766,32148
8/6/2020,,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2020,3138105,0.015,2538,7347,12156,2538,7347,12156,24912,25948
8/8/2020,2884482,0.015,2538,7347,12156,2538,7347,12156,21399,22228
8/9/2020,3240311,0.015,0,9125,27012,0,8906,26361,19353,20007
8/10/2020,,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/11/2020,,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/12/2020,3579105,0.015,674,33629,66587,19554,33842,48130,21393,21984
8/13/2020,3499612,0.015,34755,91399,148055,42728,92621,142514,32883,33473
8/14/2020,3510968,0.0135,0,7727,22871,0,7890,23356,23410,24023
8/15/2020,3548822,0.0152,0,7185,21268,0,7875,23311,23394,23690
8/16/2020,3228955,0.0148,2567,7432,12296,2567,7432,12296,23406,23702
8/17/2020,3495826,0.0114,84647,165958,247285,61051,170333,279616,46065,46986
8/18/2020,3240311,0.0069,231465,397584,563744,246781,414167,581552,101559,104880
8/19/2020,3217599,0.0126,140037,224835,309653,182252,232273,282293,128874,133227
8/20/2020,3183530,0.0434,16361,34356,52354,3035,31623,60211,120725,124513
8/21/2020,3300878,0.0015,160619,523059,885541,379640,547436,715231,194344,201591
8/22/2020,2833379,0.0062,85365,208672,332000,0,205247,411961,223128,229787
8/23/2020,2857985,0.0103,83468,175270,267092,66090,178889,291687,247105,254281
8/24/2020,3662384,0.0132,0,19128,45640,0,18216,53918,226129,232550
8/25/2020,3616959,0.0009,0,263663,629096,0,262500,777000,206998,210883
8/26/2020,3565856,0.001,9770,487253,964785,4201,453704,903207,244486,242516
8/27/2020,3728629,0.001,291089,947908,1604823,539778,946296,1352815,374993,373184
8/28/2020,,0.0013,61526,498130,934786,0,509091,1218320,371432,367706
8/29/2020,,0.016,27536,79418,131309,8338,90833,173329,352967,351361
