CRU_COMPLETED_DATE,Total_Pos_Daily,Iso_Off_Campus,Iso_On_Campus,prop_off,prop_total
2020-08-10,15,1,0,0.066666666666667,0.066666666666667
2020-08-11,12,5,0,0.416666666666667,0.416666666666667
2020-08-12,16,9,1,0.5625,0.625
2020-08-13,21,11,2,0.523809523809524,0.619047619047619
2020-08-14,39,23,5,0.58974358974359,0.717948717948718
2020-08-15,16,6,1,0.375,0.4375
2020-08-16,32,17,6,0.53125,0.71875
2020-08-17,180,91,33,0.505555555555556,0.688888888888889
2020-08-18,145,45,39,0.310344827586207,0.579310344827586
2020-08-19,151,47,44,0.311258278145695,0.602649006622517
2020-08-20,80,18,11,0.225,0.3625
2020-08-21,54,14,17,0.259259259259259,0.574074074074074
2020-08-22,42,11,12,0.261904761904762,0.547619047619048
2020-08-23,41,5,25,0.121951219512195,0.731707317073171
2020-08-24,58,19,27,0.327586206896552,0.793103448275862
2020-08-25,47,13,9,0.276595744680851,0.468085106382979
2020-08-26,42,10,9,0.238095238095238,0.452380952380952
2020-08-27,46,15,10,0.326086956521739,0.543478260869565
2020-08-28,32,7,10,0.21875,0.53125
2020-08-29,19,3,7,0.157894736842105,0.526315789473684
2020-08-30,8,3,0,0.375,0.375
2020-08-31,23,9,3,0.391304347826087,0.521739130434783
2020-09-01,16,3,6,0.1875,0.5625
2020-09-02,5,2,1,0.4,0.6
2020-09-03,7,1,1,0.142857142857143,0.285714285714286
2020-09-04,6,2,2,0.333333333333333,0.666666666666667
2020-09-05,3,0,1,0,0.333333333333333
2020-09-06,9,1,6,0.111111111111111,0.777777777777778
2020-09-07,2,0,2,0,1
2020-09-08,11,4,3,0.363636363636364,0.636363636363636
2020-09-09,10,5,4,0.5,0.9
2020-09-10,12,4,5,0.333333333333333,0.75
2020-09-11,16,0,10,0,0.625
2020-09-12,2,0,0,0,0
2020-09-13,5,3,1,0.6,0.8
2020-09-14,10,2,6,0.2,0.8
2020-09-15,6,1,3,0.166666666666667,0.666666666666667
2020-09-16,11,5,4,0.454545454545455,0.818181818181818
2020-09-17,6,3,0,0.5,0.5
2020-09-18,6,5,1,0.833333333333333,1
2020-09-19,1,0,0,0,0
2020-09-20,3,0,1,0,0.333333333333333
2020-09-21,16,4,5,0.25,0.5625
2020-09-22,6,1,2,0.166666666666667,0.5
2020-09-23,8,6,2,0.75,1
2020-09-24,7,2,4,0.285714285714286,0.857142857142857
2020-09-25,8,4,3,0.5,0.875
2020-09-26,2,1,0,0.5,0.5
2020-09-27,8,5,0,0.625,0.625
2020-09-28,14,2,4,0.142857142857143,0.428571428571429
2020-09-29,14,6,4,0.428571428571429,0.714285714285714
2020-09-30,18,1,9,0.055555555555556,0.555555555555556
2020-10-01,12,2,2,0.166666666666667,0.333333333333333
2020-10-02,4,0,0,0,0
2020-10-04,5,4,1,0.8,1
2020-10-05,14,3,6,0.214285714285714,0.642857142857143
2020-10-06,10,0,3,0,0.3
2020-10-07,8,1,0,0.125,0.125
2020-10-08,7,2,1,0.285714285714286,0.428571428571429
2020-10-09,5,1,1,0.2,0.4
2020-10-10,4,1,1,0.25,0.5
2020-10-11,4,0,1,0,0.25
2020-10-12,15,1,5,0.066666666666667,0.4
2020-10-13,16,5,5,0.3125,0.625
2020-10-14,56,12,36,0.214285714285714,0.857142857142857
2020-10-15,22,1,16,0.045454545454546,0.772727272727273
2020-10-16,28,7,18,0.25,0.892857142857143
2020-10-17,7,2,2,0.285714285714286,0.571428571428571
2020-10-18,21,3,10,0.142857142857143,0.619047619047619
2020-10-19,21,4,7,0.19047619047619,0.523809523809524
2020-10-20,38,7,19,0.184210526315789,0.68421052631579
2020-10-21,29,6,10,0.206896551724138,0.551724137931034
2020-10-22,25,3,12,0.12,0.6
2020-10-23,23,5,7,0.217391304347826,0.521739130434783
2020-10-24,12,3,8,0.25,0.916666666666667
2020-10-25,10,1,7,0.1,0.8
2020-10-26,30,4,11,0.133333333333333,0.5
2020-10-27,35,11,13,0.314285714285714,0.685714285714286
2020-10-28,42,8,14,0.19047619047619,0.523809523809524
2020-10-29,32,13,8,0.40625,0.65625
2020-10-30,23,5,12,0.217391304347826,0.739130434782609
2020-10-31,7,2,4,0.285714285714286,0.857142857142857
2020-11-01,6,3,2,0.5,0.833333333333333
2020-11-02,50,2,15,0.04,0.34
2020-11-03,86,8,27,0.093023255813954,0.406976744186047
2020-11-04,96,11,54,0.114583333333333,0.677083333333333
2020-11-05,58,7,25,0.120689655172414,0.551724137931034
2020-11-06,33,2,21,0.060606060606061,0.696969696969697
2020-11-07,15,3,6,0.2,0.6
2020-11-08,16,4,9,0.25,0.8125
2020-11-09,46,12,18,0.260869565217391,0.652173913043478
2020-11-10,52,13,15,0.25,0.538461538461538
2020-11-11,41,5,12,0.121951219512195,0.414634146341463
2020-11-12,60,11,12,0.183333333333333,0.383333333333333
2020-11-13,56,14,14,0.25,0.5
2020-11-14,44,6,16,0.136363636363636,0.5
2020-11-15,36,9,13,0.25,0.611111111111111
2020-11-16,51,12,11,0.235294117647059,0.450980392156863
2020-11-17,48,5,16,0.104166666666667,0.4375
2020-11-18,52,8,20,0.153846153846154,0.538461538461538
2020-11-19,41,4,19,0.097560975609756,0.560975609756098
2020-11-20,19,3,4,0.157894736842105,0.368421052631579
